"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 17:53:34 GMT 2023","Tue Apr 25 17:53:34 GMT 2023","1","tests.unit_tests","test_user","TestUser","","","Review creates in DB","Checks that review creates in DB"
"passed","Tue Apr 25 17:53:33 GMT 2023","Tue Apr 25 17:53:33 GMT 2023","10","tests.unit_tests","test_user","TestUser","","","User creates in DB","Checks if DB creates and user can appear in it"
"passed","Tue Apr 25 17:53:17 GMT 2023","Tue Apr 25 17:53:17 GMT 2023","637","tests.ui_tests","test_main_page","TestMainPage","","","Guest can go to all the links","Проверяет работоспособность всех страниц, доступных на главной странице "
"passed","Tue Apr 25 17:53:33 GMT 2023","Tue Apr 25 17:53:34 GMT 2023","685","tests.unit_tests","test_user","TestUser","","","Password hashes correctly","Checks a password hashing method"
"passed","Tue Apr 25 17:53:19 GMT 2023","Tue Apr 25 17:53:19 GMT 2023","677","tests.ui_tests","test_main_page","TestMainPage","","","Guest can go to all the links","Проверяет работоспособность всех страниц, доступных на главной странице "
"passed","Tue Apr 25 17:53:05 GMT 2023","Tue Apr 25 17:53:12 GMT 2023","7815","tests.ui_tests","test_account_page","TestAccountPage","","","User can change his data","User can change his own profile"
"passed","Tue Apr 25 17:53:14 GMT 2023","Tue Apr 25 17:53:14 GMT 2023","737","tests.ui_tests","test_main_page","TestMainPage","","","Guest can go to all the links","Проверяет работоспособность всех страниц, доступных на главной странице "
"passed","Tue Apr 25 17:53:24 GMT 2023","Tue Apr 25 17:53:25 GMT 2023","656","tests.ui_tests","test_main_page","TestMainPage","","","Guest can go to all the links","Проверяет работоспособность всех страниц, доступных на главной странице "
"passed","Tue Apr 25 17:53:26 GMT 2023","Tue Apr 25 17:53:33 GMT 2023","6817","tests.ui_tests","test_review_page","TestReviewPage","","","User can leave a review","User can leave a review"
"passed","Tue Apr 25 17:52:54 GMT 2023","Tue Apr 25 17:53:03 GMT 2023","9611","tests.ui_tests","test_account_page","TestAccountPage","","","User can add a service","User can add a service"
"passed","Tue Apr 25 17:53:21 GMT 2023","Tue Apr 25 17:53:21 GMT 2023","722","tests.ui_tests","test_main_page","TestMainPage","","","Guest can go to all the links","Проверяет работоспособность всех страниц, доступных на главной странице "
"passed","Tue Apr 25 17:53:23 GMT 2023","Tue Apr 25 17:53:23 GMT 2023","661","tests.ui_tests","test_main_page","TestMainPage","","","Guest can go to all the links","Проверяет работоспособность всех страниц, доступных на главной странице "
"passed","Tue Apr 25 17:53:34 GMT 2023","Tue Apr 25 17:53:34 GMT 2023","0","tests.unit_tests","test_user","TestUser","","","SMS generates correctly","Checks a send sms method "
"passed","Tue Apr 25 17:53:34 GMT 2023","Tue Apr 25 17:53:34 GMT 2023","2","tests.unit_tests","test_user","TestUser","","","Service creates in DB","Checks that service creates in DB"
